Должность;N;Зарплата.в.месяц;Изменение.зарплаты.за.12.месяцев;Возраст;Еще.студент;exp;current_job_exp;salary;avg
Junior Software Engineer;3559.063492063492;560.8412698412699;181.03174603174602;24.174603174603174;0.38095238095238093;0.876984126984127;0.5238095238095238;560.8412698412699;2582.583426988782
Senior Software Engineer;4781.870967741936;3387.0967741935483;431.61290322580646;29.06451612903226;0.03225806451612903;6.67741935483871;1.5564516129032258;3387.0967741935483;2582.583426988782
Software Engineer;3668.84;1799.07;479.83;26.63;0.13;3.18;1.1275;1799.07;2582.583426988782
System Architect;6989.0;4000.0;0.0;35.5;0.0;10.0;1.125;4000.0;2582.583426988782
Technical Lead;5370.181818181818;3165.909090909091;455.0;30.09090909090909;0.0;7.090909090909091;3.3863636363636362;3165.909090909091;2582.583426988782
